,trace_id,predict,label,type
0,d191ea4d867c4663a4c3efe3db67fb33.41.16457200119920047,1,1,ts-payment-service.POST:/api/v1/inside_pay_service/inside_payment
1,61c4cd9551ee4cbeaf9c40ad7e28aadf.35.16459756853271069,1,1,ts-config-service.POST:/api/v1/travelplanservice/travelPlan/quickest
2,d080cd7caefb4cf2abe5b9eaa1c86026.43.16461196738460081,1,1,user_code_chaos.POST:/api/v1/preserveotherservice/preserveOther
3,d080cd7caefb4cf2abe5b9eaa1c86026.35.16461206783620099,1,1,user_code_chaos.POST:/api/v1/preserveotherservice/preserveOther
4,40c92ef0dafa45d3ac2e737789359166.42.16457908476901633,1,1,ts-station-service.POST:/api/v1/travelplanservice/travelPlan/minStation
5,40c92ef0dafa45d3ac2e737789359166.41.16458022180381767,1,1,ts-config-service.POST:/api/v1/travelplanservice/travelPlan/minStation
6,ba125860de4948dba180c865b630f328.44.16458535283190041,1,1,ts-consign-price-service.PUT:/api/v1/consignservice/consigns
7,2ba46c06939c4b0cac68ad1af6e9c919.36.16457612950220031,1,1,ts-order-other-service.POST:/api/v1/preserveservice/preserve
8,4f2ca34ee5c84c03856a87eb4ac87592.41.16457345591632971,1,1,ts-basic-service.POST:/api/v1/travelservice/trips/left_parallel
9,b88cc045753f4ba1967aa425fe079629.37.16461115994490885,1,1,station_code_chaos.POST:/api/v1/orderservice/order/refresh
10,ba125860de4948dba180c865b630f328.37.16458534505720039,1,1,ts-consign-price-service.PUT:/api/v1/consignservice/consigns
11,3137e95996e042a1ae0717cf0bcee243.38.16459928234160091,1,1,ts-basic-service.POST:/api/v1/travelplanservice/travelPlan/quickest
12,ba125860de4948dba180c865b630f328.42.16458520296200007,1,1,ts-consign-price-service.PUT:/api/v1/consignservice/consigns
13,8658ac688bcf4cf39e7c5ada757e8bd9.41.16457617285251651,1,1,ts-order-other-service.POST:/api/v1/travel2service/trips/left
14,61c4cd9551ee4cbeaf9c40ad7e28aadf.40.16459753890731043,1,1,ts-config-service.POST:/api/v1/travelplanservice/travelPlan/quickest
15,d191ea4d867c4663a4c3efe3db67fb33.40.16457218425360107,1,1,ts-payment-service.POST:/api/v1/inside_pay_service/inside_payment
16,d080cd7caefb4cf2abe5b9eaa1c86026.39.16461165583370027,1,1,user_code_chaos.POST:/api/v1/preserveotherservice/preserveOther
17,d191ea4d867c4663a4c3efe3db67fb33.39.16457184115230001,1,1,ts-payment-service.POST:/api/v1/inside_pay_service/inside_payment
18,bd8d3b2224d3451a9b8de59256921a82.42.16458862106410215,1,1,empty.POST:/api/v1/users/login
19,40c92ef0dafa45d3ac2e737789359166.38.16457974522721693,1,1,ts-route-service.POST:/api/v1/travelplanservice/travelPlan/minStation
20,b88cc045753f4ba1967aa425fe079629.43.16461045764780101,1,1,station_code_chaos.POST:/api/v1/orderservice/order/refresh
21,3137e95996e042a1ae0717cf0bcee243.45.16459892736840043,1,1,empty.POST:/api/v1/travelplanservice/travelPlan/cheapest
22,61c4cd9551ee4cbeaf9c40ad7e28aadf.44.16459760644871069,1,1,ts-config-service.POST:/api/v1/travelplanservice/travelPlan/quickest
23,61c4cd9551ee4cbeaf9c40ad7e28aadf.36.16459084482320173,1,1,ts-basic-service.POST:/api/v1/travelplanservice/travelPlan/quickest
24,61c4cd9551ee4cbeaf9c40ad7e28aadf.40.16459214687850507,1,1,empty.POST:/api/v1/travelplanservice/travelPlan/cheapest
25,b88cc045753f4ba1967aa425fe079629.39.16461101102050745,1,1,station_code_chaos.POST:/api/v1/orderservice/order/refresh
